t0,t1,x,y,rx_from_center,ry_from_center,r_from_center_px,theta_deg,dx,dy,speed_px,radial_component,radiality,radial_aligned,direction_label,sector,corr
0,15,270,110,35.0,-22.0,41.340053217188775,-32.15229514128234,8,-8,11.313708498984761,11.030464755434805,0.9749645535258953,True,outward,right_middle,0.7823672294616699
0,15,250,140,15.0,8.0,17.0,28.072486935852957,5,3,5.830951894845301,5.823529411764706,0.9987270546534337,True,outward,right_middle,0.6653136014938354
0,15,220,160,-15.0,28.0,31.76476034853718,118.17859010995917,0,-1,1.0,-0.8814799700287821,0.8814799700287821,True,inward,left_middle,0.6710869073867798
0,15,280,210,45.0,78.0,90.0499861188218,60.01836063115067,-6,-3,6.708203932499369,-5.596891479083264,0.8343353206613013,True,inward,right_lower,0.5516697764396667
15,30,340,70,105.0,-62.0,121.93850909372314,-30.560839267371534,4,-3,5.0,4.969717970999813,0.9939435941999626,True,outward,right_upper,0.5916709899902344
15,30,260,140,25.0,8.0,26.248809496813376,17.744671625056935,2,0,2.0,1.9048482943986482,0.9524241471993241,True,outward,right_middle,0.7801200151443481
15,30,270,170,35.0,38.0,51.66236541235796,47.35329686610831,5,1,5.0990195135927845,4.122923878918039,0.8085718966023361,True,outward,right_middle,0.7114343047142029
60,75,240,60,5.0,-72.0,72.17340230306452,-86.02750405924934,-5,-7,8.602325267042627,6.636793953382206,0.7715116259099388,True,outward,right_upper,0.6884890198707581
60,75,250,80,15.0,-52.0,54.120236510939236,-73.90918365114783,-7,7,9.899494936611665,-8.665889697381528,0.8753870528618739,True,inward,right_upper,0.6136064529418945
75,90,240,60,5.0,-72.0,72.17340230306452,-86.02750405924934,-5,-7,8.602325267042627,6.636793953382206,0.7715116259099388,True,outward,right_upper,0.7092314958572388
75,90,350,70,115.0,-62.0,130.64838307457157,-28.33045808554007,-7,-1,7.0710678118654755,-5.687020248661708,0.8042661165147799,True,inward,right_upper,0.614337146282196
75,90,310,90,75.0,-42.0,85.95929269136641,-29.248826336546973,-8,1,8.06225774829855,-7.468651496529604,0.926372206111344,True,inward,right_middle,0.6615954041481018
75,90,330,110,95.0,-22.0,97.51410154434076,-13.03865658302297,-6,-2,6.324555320336759,-5.394091640795376,0.8528807746294108,True,inward,right_middle,0.6390169858932495
