idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,1984.710504,1080.476685,1,-0.08395245,0.53770985
1,1.300000,1889.542316,1080.476685,1,-0.10117702,0.72749003
2,1.700000,1794.374127,1080.476685,1,0.03002060,0.60906978
3,2.100000,1699.205939,1080.476685,1,0.04006835,0.47834785
4,2.500000,1604.037750,1080.476685,1,0.19680694,0.54209250
5,2.900000,1508.869562,1080.476685,1,-0.14882430,0.59371649
6,3.300000,1413.701373,1080.476685,1,0.07705874,0.68196405
7,3.700000,1318.533185,1080.476685,1,0.13135188,0.70369985
8,4.100000,1223.364996,1080.476685,1,-0.03623263,0.82046700
9,4.500000,1128.196808,1080.476685,1,-0.03061349,0.53142496
10,4.900000,1033.028619,1080.476685,1,0.09070117,0.55946831
11,5.300000,937.860431,1080.476685,1,0.04999520,0.59336362
12,5.700000,842.692242,1080.476685,1,-0.10766207,0.54331693
13,6.100000,747.524054,1080.476685,1,0.15963683,0.57582005
14,6.500000,652.355865,1080.476685,1,0.14666900,0.47056581
