idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2038.219464,1139.228394,1,0.09490222,0.69170644
1,1.300000,1942.580214,1139.228394,1,0.00441816,0.59585152
2,1.700000,1846.940965,1139.228394,1,0.04754358,0.54024405
3,2.100000,1751.301715,1139.228394,1,0.11987605,0.70093393
4,2.500000,1655.662465,1139.228394,1,-0.01017773,0.61571066
5,2.900000,1560.023216,1139.228394,1,-0.09369941,0.65153987
6,3.300000,1464.383966,1139.228394,1,0.14146328,0.59899478
7,3.700000,1368.744716,1139.228394,1,0.15992889,0.52151288
8,4.100000,1273.105467,1139.228394,1,0.02588403,0.64269840
9,4.500000,1177.466217,1139.228394,1,0.02451577,0.69018001
10,4.900000,1081.826967,1139.228394,1,0.03967508,0.63394687
11,5.300000,986.187718,1139.228394,1,-0.02580843,0.76273088
12,5.700000,890.548468,1139.228394,1,-0.01453242,0.57193746
13,6.100000,794.909218,1139.228394,1,0.04350403,0.61002954
14,6.500000,699.269969,1139.228394,1,0.11229150,0.77037241
