idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2258.151471,1178.635498,1,0.08529605,0.61435898
1,1.300000,2173.981785,1178.635498,1,-0.00035181,0.57620339
2,1.700000,2089.812099,1178.635498,1,0.04881330,0.57646569
3,2.100000,2005.642413,1178.635498,1,0.09341127,0.66648557
4,2.500000,1921.472727,1178.635498,1,0.17070245,0.79071316
5,2.900000,1837.303042,1178.635498,1,0.09743071,0.58920622
6,3.300000,1753.133356,1178.635498,1,0.02787867,0.56143460
7,3.700000,1668.963670,1178.635498,1,0.13054219,0.69639352
8,4.100000,1584.793984,1178.635498,1,0.16192842,0.67677979
9,4.500000,1500.624298,1178.635498,1,0.18637426,0.83372790
10,4.900000,1416.454612,1178.635498,1,0.13750730,0.87434190
11,5.300000,1332.284926,1178.635498,1,0.11323068,0.84610648
12,5.700000,1248.115240,1178.635498,1,0.16819188,0.90322307
13,6.100000,1163.945555,1178.635498,1,0.13205660,0.90736280
14,6.500000,1079.775869,1178.635498,1,0.17626722,0.86513610
