idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,1978.363257,1056.811768,1,0.06336073,0.45001692
1,1.300000,1883.399162,1056.811768,1,0.12439985,0.55824116
2,1.700000,1788.435067,1056.811768,1,0.16743383,0.56722425
3,2.100000,1693.470972,1056.811768,1,-0.03432376,0.66623848
4,2.500000,1598.506877,1056.811768,1,-0.07414557,0.62935813
5,2.900000,1503.542782,1056.811768,1,0.03950212,0.45951643
6,3.300000,1408.578687,1056.811768,1,-0.15259331,0.58901443
7,3.700000,1313.614591,1056.811768,1,0.18449020,0.57796362
8,4.100000,1218.650496,1056.811768,1,0.03662270,0.60624869
9,4.500000,1123.686401,1056.811768,1,0.08851451,0.59544405
10,4.900000,1028.722306,1056.811768,1,0.02938862,0.50828612
11,5.300000,933.758211,1056.811768,1,-0.01225044,0.63529894
12,5.700000,838.794116,1056.811768,1,0.06132324,0.48360814
13,6.100000,743.830021,1056.811768,1,0.06523588,0.55634442
14,6.500000,648.865926,1056.811768,1,-0.12828581,0.50285607
