idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2127.119080,1029.511108,1,0.15877292,0.69644551
1,1.300000,2032.602071,1029.511108,1,0.14394120,0.78171123
2,1.700000,1938.085063,1029.511108,1,0.10107598,0.72873794
3,2.100000,1843.568054,1029.511108,1,-0.11409995,0.53450179
4,2.500000,1749.051046,1029.511108,1,0.24027652,0.79526357
5,2.900000,1654.534037,1029.511108,1,0.01060339,0.57690409
6,3.300000,1560.017029,1029.511108,1,0.14387553,0.52304093
7,3.700000,1465.500020,1029.511108,1,0.01919989,0.71923620
8,4.100000,1370.983012,1029.511108,1,0.07488779,0.69688736
9,4.500000,1276.466003,1029.511108,1,0.02742836,0.68405196
10,4.900000,1181.948995,1029.511108,1,0.28409466,0.61162989
11,5.300000,1087.431986,1029.511108,1,-0.06911566,0.72578681
12,5.700000,992.914978,1029.511108,1,-0.01133015,0.69717039
13,6.100000,898.397970,1029.511108,1,-0.00168093,0.58592768
14,6.500000,803.880961,1029.511108,1,0.01507011,0.52890291
