idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2135.495947,1161.415039,1,0.46279540,0.74365135
1,1.300000,2040.440544,1161.415039,1,0.38830799,0.55457307
2,1.700000,1945.385140,1161.415039,1,0.38755806,0.60446958
3,2.100000,1850.329736,1161.415039,1,0.53471319,0.68653983
4,2.500000,1755.274333,1161.415039,1,0.34437962,0.66195604
5,2.900000,1660.218929,1161.415039,1,0.45085498,0.58582010
6,3.300000,1565.163525,1161.415039,1,0.33018009,0.70827082
7,3.700000,1470.108122,1161.415039,1,0.44377876,0.60321844
8,4.100000,1375.052718,1161.415039,1,0.45688930,0.63746239
9,4.500000,1279.997314,1161.415039,1,0.40156561,0.69977735
10,4.900000,1184.941911,1161.415039,1,0.40602495,0.53377625
11,5.300000,1089.886507,1161.415039,1,0.55452517,0.54336929
12,5.700000,994.831104,1161.415039,1,0.13573664,0.70713121
13,6.100000,899.775700,1161.415039,1,0.31482312,0.62109433
14,6.500000,804.720296,1161.415039,1,0.27392745,0.64515804
