idx,r_cm,x_center_px,y_center_px,valid,alpha_control,S_peak
0,0.900000,2094.090417,1117.845215,1,0.46359073,0.71669209
1,1.300000,1997.719633,1117.845215,1,0.43350710,0.72828261
2,1.700000,1901.348848,1117.845215,1,0.44799831,0.66648764
3,2.100000,1804.978064,1117.845215,1,0.31560907,0.77132819
4,2.500000,1708.607279,1117.845215,1,0.34000712,0.76461250
5,2.900000,1612.236495,1117.845215,1,0.42187264,0.72548790
6,3.300000,1515.865710,1117.845215,1,0.50959704,0.71264685
7,3.700000,1419.494926,1117.845215,1,0.29437267,0.78102970
8,4.100000,1323.124141,1117.845215,1,0.46873292,0.73594221
9,4.500000,1226.753357,1117.845215,1,0.30357004,0.77347423
10,4.900000,1130.382572,1117.845215,1,0.34628539,0.71407359
11,5.300000,1034.011788,1117.845215,1,0.35809596,0.65858214
12,5.700000,937.641003,1117.845215,1,0.39393796,0.84771043
13,6.100000,841.270219,1117.845215,1,0.35251920,0.72684894
14,6.500000,744.899434,1117.845215,1,0.21629531,0.65032963
