run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.03336667,0.7122231506,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.06673333,0.5886076777,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.1001,0.4936016925,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.13346667,0.3944566071,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.16683333,0.3155619833,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.2002,0.2986374717,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.23356667,0.2773363989,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.26693333,0.2241812336,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.3003,0.1854214819,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.33366667,0.1188055901,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.36703333,0.0883673853,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.4004,0.0488145996,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.43376667,0.0322069591,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.46713333,0.0013740638,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.5005,0.0298092625,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
run_20260603_135301_video01_target10cm,1,10.0,10.0,0.53386667,0.0518779209,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_135301_video01_target10cm\center_autocorr_curve.csv
