video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
3,60.00000000,60.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.03336667,0.7205835397,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.06673333,0.6236187769,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.10010000,0.5296834401,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.13346667,0.4665088295,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.16683333,0.3974686580,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.20020000,0.3737614209,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.23356667,0.3055515559,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.26693333,0.2663790033,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.30030000,0.2397809830,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.33366667,0.1859191487,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.36703333,0.1539402828,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.40040000,0.1138622755,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.43376667,0.0641942117,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.46713333,0.0589944179,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.50050000,0.0501705888,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.53386667,0.0524081442,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.56723333,0.0708530116,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.60060000,0.0729549873,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.63396667,0.0634052227,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.66733333,0.0495850494,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.70070000,0.0599720914,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.73406667,0.0382969854,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.76743333,0.0447262364,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.80080000,0.0663456640,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.83416667,0.0745519668,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.86753333,0.0733214440,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.90090000,0.0600584885,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.93426667,0.0633927908,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,0.96763333,0.0691767250,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.00100000,0.0591422987,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.03436667,0.0649097669,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.06773333,0.0556597117,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.10110000,0.0503611119,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.13446667,0.0669618757,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.16783333,0.0600896012,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.20120000,0.0597941199,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.23456667,0.0165510497,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.26793333,-0.0136641640,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.30130000,-0.0542491564,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.33466667,-0.0785612301,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.36803333,-0.0987841343,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.40140000,-0.1030438629,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.43476667,-0.0709272688,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.46813333,-0.0593725619,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.50150000,-0.0192563016,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.53486667,-0.0330936469,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.56823333,-0.0289420767,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.60160000,-0.0521786106,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.63496667,-0.0654734941,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.66833333,-0.0946161720,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.70170000,-0.0797547398,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.73506667,-0.0832167626,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.76843333,-0.0582047201,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.80180000,-0.0435143236,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.83516667,-0.0522223887,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.86853333,-0.0363233395,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.90190000,-0.0288082480,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.93526667,-0.0430134016,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,1.96863333,-0.0387881732,0.10010000,2.00200000,0.10000000
3,60.00000000,60.00000000,2.00200000,-0.0177725216,0.10010000,2.00200000,0.10000000
