run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.03336667,0.8582103441,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.06673333,0.7935649514,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.1001,0.741724254,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.13346667,0.6892455385,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.16683333,0.6518977975,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.2002,0.6114420873,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.23356667,0.5736295608,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.26693333,0.5369212435,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.3003,0.5049352548,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.33366667,0.4749866857,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.36703333,0.4472581744,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.4004,0.40628185,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
run_20260603_103710_video01_target10cm,1,10.0,10.0,0.43376667,0.3793130033,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_103710_video01_target10cm\center_autocorr_curve.csv
