video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
1,10.00000000,10.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.03336667,0.8582103441,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.06673333,0.7935649514,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.10010000,0.7417242540,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.13346667,0.6892455385,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.16683333,0.6518977975,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.20020000,0.6114420873,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.23356667,0.5736295608,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.26693333,0.5369212435,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.30030000,0.5049352548,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.33366667,0.4749866857,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.36703333,0.4472581744,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.40040000,0.4062818500,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.43376667,0.3793130033,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.46713333,0.3418054441,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.50050000,0.3117073328,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.53386667,0.2775905309,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.56723333,0.2561468309,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.60060000,0.2437936015,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.63396667,0.2035547378,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.66733333,0.1729289377,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.70070000,0.1431614918,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.73406667,0.1248254068,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.76743333,0.0969364798,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.80080000,0.0731139578,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.83416667,0.0624378907,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.86753333,0.0411062211,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.90090000,0.0366750755,0.10010000,2.00200000,0.10000000
1,10.00000000,10.00000000,0.93426667,0.0308392026,0.10010000,2.00200000,0.10000000
