run_folder,video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold,source_csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.0,1.0,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.03336667,0.8247124288,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.06673333,0.739965476,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.1001,0.6499652969,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.13346667,0.5787911852,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.16683333,0.5209609554,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.2002,0.4737806345,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.23356667,0.4259282672,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.26693333,0.4164030009,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.3003,0.3861654384,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.33366667,0.3705115936,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.36703333,0.3444443361,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.4004,0.3095928225,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.43376667,0.2821950042,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.46713333,0.2661542699,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.5005,0.2699305621,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.53386667,0.2541853755,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.56723333,0.2478969353,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.6006,0.237444248,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.63396667,0.2356734413,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.66733333,0.2268870624,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.7007,0.1899317634,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.73406667,0.1827786534,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.76743333,0.181003681,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.8008,0.1675516912,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.83416667,0.1654910311,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.86753333,0.156710126,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.9009,0.1748531242,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.93426667,0.1860159696,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,0.96763333,0.1764789349,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.001,0.1757095254,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.03436667,0.1929243663,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.06773333,0.1938043851,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
run_20260603_125818_video01_target10cm,1,10.0,10.0,1.1011,0.2031172959,0.1001,2.002,0.1,C:\tail_analysis\results_radial_autocorr_spatial_extension\run_20260603_125818_video01_target10cm\center_autocorr_curve.csv
