video_number,r_local_cm,r_global_cm,tau_sec,autocorr,min_lag_sec,max_lag_sec,persistence_threshold
2,30.00000000,30.00000000,0.00000000,1.0000000000,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.03336667,0.8663864928,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.06673333,0.7962537879,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.10010000,0.7374189660,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.13346667,0.6822269707,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.16683333,0.6629841180,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.20020000,0.6376442290,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.23356667,0.6247216552,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.26693333,0.6160396852,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.30030000,0.6011467517,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.33366667,0.5859645517,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.36703333,0.5739873422,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.40040000,0.5625319974,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.43376667,0.5535061061,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.46713333,0.5450962627,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.50050000,0.5311523905,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.53386667,0.5083918603,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.56723333,0.5014556521,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.60060000,0.4704654120,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.63396667,0.4374660038,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.66733333,0.4198930705,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.70070000,0.4066238206,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.73406667,0.3942121009,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.76743333,0.3867144703,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.80080000,0.3761626344,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.83416667,0.3652831388,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.86753333,0.3407778477,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.90090000,0.3251304546,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.93426667,0.3280551886,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,0.96763333,0.3289824408,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.00100000,0.3261853396,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.03436667,0.3095902884,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.06773333,0.3065306770,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.10110000,0.2933707829,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.13446667,0.2901203532,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.16783333,0.2879823326,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.20120000,0.2687807071,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.23456667,0.2762208768,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.26793333,0.2731535535,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.30130000,0.2715271729,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.33466667,0.2802948451,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.36803333,0.2818631182,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.40140000,0.2809020170,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.43476667,0.2830969411,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.46813333,0.2820856535,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.50150000,0.2962789005,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.53486667,0.2836158339,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.56823333,0.2761989000,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.60160000,0.2677810066,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.63496667,0.2489587699,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.66833333,0.2469569219,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.70170000,0.2343320483,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.73506667,0.2250178586,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.76843333,0.2153162448,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.80180000,0.2075328779,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.83516667,0.2052261024,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.86853333,0.2099366426,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.90190000,0.2102558767,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.93526667,0.2144804164,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,1.96863333,0.2175022061,0.10010000,2.00200000,0.10000000
2,30.00000000,30.00000000,2.00200000,0.2206636800,0.10010000,2.00200000,0.10000000
